source,year,date,shift,set_name,question_id,question_number,question_text,passage_text,case_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,ncert_keyword_match,repeated_concept_cluster,confidence_score,source_url,raw_file_path,needs_review
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13,ting,2ef6af053ebbda96d4,34,"Q.5
Which management function involves setting objectives, developing
courses of action, and providing a rational approach for achieving
organizational goals, and is considered the first step in the management
process?
Options:",,,Organising,Coordination,Controlling,Planning Section : Business Studies --- Page 2 --- Options 1. 1,,,direct,easy,Unit I,Nature and Significance of Management,functions of management,"planning, organising, controlling, coordination",Nature and Significance of Management :: functions of management,0.82,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27,,30ed796bc91daecb45,226,"Q.29
In which method of on-the-job training, the trainee is kept under the
guidance of a master worker?",,,,,,,,,direct,easy,Unit VI,Staffing,training and development,training,Staffing :: training and development,0.43,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13,,324db177dd54729a86,318,"Q.41
Read the passage and answer the following questions:
 
Aroma Coffee House, a boutique café, aims to expand its brand by
focusing on the marketing mix. The product is its artisanal coffee, known
for unique flavors and organic ingredients. The café ensures appealing
packaging, using recyclable and aesthetically designed coffee bags to
align with eco-conscious consumers. Its branding strategy emphasizes
sustainability and local community support, making it a trusted choice.
 
The pricing is premium, reflecting the high quality of the coffee be",,,,,,,A,Dubuddy CUET Business Studies solved papers linked file,direct,easy,Unit X,Marketing,product,"product, branding, packaging",Marketing :: product,0.77,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13,,3261654992038c11e7,190,"Q.25
Which of the following is related to economic dimension of business
environment?",,,,,,,,,direct,easy,Unit III,Business Environment,meaning and features,business environment,Business Environment :: meaning and features,0.46,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,16-05-2025,16,,32b6209d8fd81c6d73,354,"Q.45
Read the passage and answer the following questions.
 
Wipro Technologies, one of India's largest IT solutions providers,
restructured its organization in its bid to compete globally with giants like
IBM and Accenture. This restructuring aimed to improve customer
orientation and operational efficiency, critical to Wipro's ambition of
becoming a global technology leader.
 
The company transitioned from a centralized management system to a
decentralized structure, dividing its operations into several self-sufficient
subsidiaries focused on specific product lines, such as
telecommunications, engineering, and financial services. Each subsidiary
operates independently, managing its personnel, accounting, and
administrative functions. This decentralization empowered business
leaders to take greater responsibility for growth and eliminated an entire
layer of executives to streamline operations.
 
Azim Premji, Wipro's then-chairman, emphasized the importance of this
shift, noting that it gave leaders more autonomy and enhanced decision-
making at the operational level. This organizational change helped Wipro
achieve specialization and allowed better alignment of resources with
customer needs.
 
Despite the advantages of decentralization, including flexibility, faster
decision-making, and enhanced accountability, it also posed challenges,
such as coordination among subsidiaries and maintaining consistency in

--- Page 12 ---
strategic objectives. Wipro addressed these challenges by clearly defining
roles and responsibilities across its new structure.
Which management system did Wipro adopted during its restructuring?",,,,,,,,,case-based,medium,Unit I,Nature and Significance of Management,meaning and objectives,"management, objectives",Nature and Significance of Management :: meaning and objectives,0.67,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_bc8d4dd1ac49b6b6.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27,,347d99e453653e5fb9,162,"Q.21
List–I
List–II
Entrepreneurial
Motivation
Explanation",,,Need for Affiliation (N–Aff.) (I) It is a desire for independence and being responsible and accountable to oneself,Need for Achievement (N– Ach.) (II) It is concerned about influencing people or the behavior of others for moving in the chosen direction,Need for Autonomy (N– Aut.) (III) Desire to carry on the tradition of business in the family and the community to which one belongs,Need for Power (N–Pow.) (IV) It implies a desire to accomplish something difficult Choose the correct answer from the options given below:,,,direct,easy,Unit XII,Entrepreneurship Development,competencies and values,"motivation, achievement",Entrepreneurship Development :: competencies and values,0.59,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27,,34a2f6e25edbf8dfef,322,"Q.41
Aditi is the manager of a growing manufacturing company called
ShineTech Pvt. Ltd. The company specializes in producing eco-friendly
household appliances. Over the past year, the company has faced several
challenges, including delayed deliveries, inconsistent product quality, and
rising costs. These issues impacted customer satisfaction and reduced
profits.
To address these challenges, Aditi decided to strengthen the controlling
function in the organization. She introduced a system of performance
standards, clearly defined goals, and a method to regularly monitor
progress. For instance, production efficiency was set at 95%, customer
complaints were to be reduced by 20%, and delivery deadlines had to be
met 95% of the time. She ensured that each department understood their
specific standards.
Aditi also implemented a weekly review system where the team could
assess their performance against the standards. Any deviations were
identified, and corrective actions were taken immediately. For instance,
when it was found that the quality control team was understaffed, Aditi
hired additional inspectors and provided training.
Moreover, Aditi used technology to track performance in real-time. She
introduced an automated system for inventory management to reduce
wastage and monitor production schedules closely. This system helped
ShineTech Pvt. Ltd. streamline operations and identify areas of
improvement quickly.
The main focus of Aditi is on which function of management?",,,,,,,,,case-based,medium,Unit VIII,Controlling,meaning and importance,"controlling, standards, deviation, corrective action",Controlling :: meaning and importance,0.83,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22,,34d20e17c26a5c3762,370,"Q.47
Passage 2: The Software Giant – Wipro Technology
On the basis of the following passage, answer the Q. No. 46 to Q. No. 50
It’s not quite there yet, but the goal is certainly within reach. One of India’s
largest IT solutions providers, Wipro Technologies, is taking on the likes of
IBM and Accenture in its effort to be included among the largest and most
successful technology services companies in the world. Restructuring
Wipro was considered the most important step in becoming a global giant,
driven by the goal towards improved customer orientation. During the past
few months, Wipro separated itself into several subsidiaries by product
line: telecommunications, engineering, financial services, etc. Each
subsidiary brings in about $300 million in annual earnings and is self-
sufficient with their own accounting books, personnel and administrative
functions. This policy of company reduces the workload as well as
enhances productivity because of the specific workers performing a
specific job on a regular basis. Such a practice at Wipro further resulted in
avoidance of duplication of work, helps in preventing confusion and
minimising the wastage of efforts. Wipro shifted from a centralised to
decentralised management system. All responsibilities for growth lay with
the management of each entity. “We tried to de-layer the organisation and
empower our business leaders with a much higher degree of growth
responsibility,” said Premji. This practice gives the employee requisite time
to explore areas for growth and the opportunity to innovate thereby
strengthening the company’s competitive position. The authority dispersal
develops in the subordinate the ability to deal effectively with challenges
and helps them to realise their full potential.
“Wipro separated itself into several subsidiaries by product line:
telecommunications, engineering, financial services, etc”. On the basis of
the aforesaid statement, identify the organizational structure which is best
suited for the company?",,,,,,,,,case-based,hard,Unit V,Organising,delegation,"authority, responsibility",Organising :: delegation,0.58,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27,,34db7dfc26fe5680f4,258,"Q.33
Arrange the stages of the selection process in the correct sequence.",,,Employment Interview,Selection Test,Preliminary Screening,Reference and Background Checks Choose the correct answer from the options given below:,,,chronology,easy,Unit VI,Staffing,selection,"selection, interview",Staffing :: selection,0.65,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,16-05-2025,16,,3797169f25746856a6,162,"Q.21
Choose the correct order of planning process.",,,Developing Premises,Evaluating alternative courses,Identifying alternative courses of action,Implementing the plan Choose the correct answer from the options given below:,,,chronology,easy,Unit IV,Planning,planning process,developing premises,Planning :: planning process,0.58,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_bc8d4dd1ac49b6b6.pdf,no
